,class,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC
64,FRENLANG2,0.056338028169014086,0.43259557344064387,0.24245472837022133,0.07042253521126761,0.08953722334004025,0.023138832997987926,0.018108651911468814,0.008048289738430584,0.0,0.0,0.0,0.0,0.0,0.05130784708249497,0.008048289738430584
65,AMSTUD214,0.0,0.3577371048252912,0.26206322795341097,0.19051580698835274,0.11896838602329451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04742096505823627,0.02329450915141431,0.0
66,BIO104,0.20846905537459284,0.46688382193268185,0.2008686210640608,0.06406080347448426,0.031487513572204126,0.006514657980456026,0.0,0.0,0.0,0.0,0.0,0.0,0.006514657980456026,0.01520086862106406,0.0
67,ANTHRO82,0.010976948408342482,0.47200878155872666,0.21075740944017562,0.13611416026344675,0.06147091108671789,0.07354555433589462,0.0,0.0,0.010976948408342482,0.0,0.0,0.0,0.0,0.024149286498353458,0.0
68,MATSCI164,0.1970705725699068,0.5725699067909454,0.09720372836218376,0.03861517976031957,0.018641810918774968,0.03861517976031957,0.0,0.0,0.0,0.0,0.018641810918774968,0.0,0.0,0.0,0.018641810918774968
69,OSPMADRD45,0.05213764337851929,0.4483837330552659,0.3169968717413973,0.15745568300312826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02502606882168926,0.0
70,MATH110,0.10607225211375865,0.3305149884704074,0.1652574942352037,0.14142966948501154,0.09377401998462721,0.05841660261337433,0.034588777863182166,0.0,0.0,0.0,0.0,0.0,0.023059185242121444,0.04688700999231361,0.0
71,PHYSICS41,0.06100217864923747,0.23420479302832245,0.144880174291939,0.17320261437908496,0.16721132897603486,0.07352941176470588,0.04411764705882353,0.022331154684095862,0.016339869281045753,0.0005446623093681918,0.0027233115468409588,0.0,0.0027233115468409588,0.0528322440087146,0.004357298474945534
72,PWR2DH,0.0,0.33468559837728196,0.43610547667342797,0.10141987829614604,0.10141987829614604,0.013184584178498986,0.0,0.013184584178498986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,PSYCH102,0.1370223978919631,0.5665349143610013,0.1422924901185771,0.05533596837944664,0.06982872200263504,0.003952569169960474,0.0,0.003952569169960474,0.0,0.003952569169960474,0.003952569169960474,0.0,0.0,0.00922266139657444,0.003952569169960474
74,LINGUIST120,0.03064798598949212,0.37653239929947463,0.1987740805604203,0.12521891418563924,0.09369527145359019,0.07267950963222417,0.04115586690017513,0.020140105078809107,0.0,0.0,0.0,0.0,0.0,0.04115586690017513,0.0
75,SPANLANG13R,0.3857290589451913,0.4446742502585315,0.0827300930713547,0.04963805584281282,0.007238883143743537,0.007238883143743537,0.0,0.0,0.0,0.0,0.0,0.0,0.007238883143743537,0.015511892450879007,0.0
76,ME391,0.0,0.12423625254582485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8757637474541752,0.0
77,SPANLANG2,0.20095693779904306,0.41148325358851673,0.21626794258373205,0.06889952153110047,0.03349282296650718,0.005741626794258373,0.0028708133971291866,0.0,0.0,0.0,0.0,0.0,0.0,0.06028708133971292,0.0
78,PHYSICS170,0.24239007891770012,0.1516347237880496,0.18207440811724915,0.18207440811724915,0.1516347237880496,0.02987598647125141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06031567080045096,0.0
79,HUMBIO122S,0.0,0.2026251025430681,0.3527481542247744,0.17063166529942575,0.17063166529942575,0.031173092698933553,0.020508613617719443,0.031173092698933553,0.0,0.0,0.0,0.0,0.0,0.020508613617719443,0.0
80,ENGR140A,0.14177693761814744,0.8128544423440454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045368620037807186,0.0,0.0
81,CME100A,0.12064613831398284,0.21706208985360928,0.06007067137809187,0.12064613831398284,0.1812216052498738,0.07218576476527007,0.09641595153962645,0.04795557799091368,0.0,0.0,0.0,0.0,0.0,0.07218576476527007,0.011610297829379102
82,ENGLISH92,0.052525252525252523,0.8686868686868687,0.052525252525252523,0.012121212121212121,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00202020202020202,0.006060606060606061
83,CHEMENG10,0.0,0.07234042553191489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01276595744680851,0.9148936170212766,0.0
84,PORTLANG2A,0.0,0.4339051463168517,0.29868819374369326,0.12108980827447023,0.026236125126135216,0.0,0.0,0.0,0.012108980827447022,0.0,0.0,0.0,0.0,0.10797174571140263,0.0
85,CME308,0.125,0.4405737704918033,0.0932377049180328,0.0932377049180328,0.0,0.030737704918032786,0.0,0.0,0.0,0.0,0.030737704918032786,0.0,0.0932377049180328,0.0932377049180328,0.0
86,PHYSICS45,0.05570776255707763,0.17168949771689498,0.1963470319634703,0.15707762557077626,0.16027397260273973,0.10182648401826484,0.04246575342465753,0.04429223744292238,0.015068493150684932,0.0,0.008675799086757991,0.00045662100456621003,0.00045662100456621003,0.043835616438356165,0.0018264840182648401
87,COMM104W,0.04965243296921549,0.1499503475670308,0.4270109235352532,0.22542204568023833,0.1002979145978153,0.023833167825223437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023833167825223437,0.0
88,FILMSTUD4,0.037825059101654845,0.338849487785658,0.28132387706855794,0.2040977147360126,0.1016548463356974,0.0252167060677699,0.005516154452324665,0.0,0.005516154452324665,0.0,0.0,0.0,0.0,0.0,0.0
89,PHYSICS21S,0.05833905284831846,0.08785175017158545,0.05833905284831846,0.11805078929306795,0.29512697323266984,0.11805078929306795,0.05833905284831846,0.05833905284831846,0.0,0.0,0.0,0.0,0.0,0.14756348661633492,0.0
90,MATSCI160,0.067816091954023,0.4942528735632184,0.2896551724137931,0.05057471264367816,0.03333333333333333,0.016091954022988506,0.0,0.0,0.0,0.0,0.0,0.0,0.016091954022988506,0.016091954022988506,0.016091954022988506
91,EE114,0.09090909090909091,0.32575757575757575,0.18257575757575759,0.11666666666666667,0.19545454545454546,0.038636363636363635,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.012121212121212121,0.025757575757575757
92,EE100,0.0,0.03991130820399113,0.0,0.0,0.0066518847006651885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9534368070953437,0.0
93,CS105,0.07867730900798175,0.4903078677309008,0.10604332953249715,0.10262257696693272,0.14823261117445838,0.02280501710376283,0.009122006841505131,0.013683010262257697,0.0068415051311288486,0.0,0.0034207525655644243,0.0,0.004561003420752566,0.013683010262257697,0.0
94,CEE172,0.036813518406759206,0.2595051297525649,0.24140012070006034,0.203983101991551,0.203983101991551,0.018105009052504527,0.0,0.018105009052504527,0.018105009052504527,0.0,0.0,0.0,0.0,0.0,0.0
95,HISTORY197,0.0568,0.344,0.3152,0.1144,0.0568,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.028,0.0568,0.0
96,CS193A,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9772727272727273,0.0
97,EDUC190,0.0,0.8113207547169812,0.0,0.0,0.04150943396226415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471698113207547,0.0
98,PWR1GEV,0.11764705882352941,0.38324420677361853,0.23529411764705882,0.08823529411764706,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057932263814616754,0.0
99,ME233,0.2673559822747415,0.6351550960118169,0.03249630723781388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06499261447562776,0.0
100,PSYC235,0.07686335403726709,0.3338509316770186,0.29580745341614906,0.1793478260869565,0.03804347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06366459627329192,0.012422360248447204
101,ME227,0.029571984435797664,0.31984435797665367,0.3346303501945525,0.12140077821011673,0.10583657587548638,0.0,0.0,0.014785992217898832,0.0,0.0,0.0,0.0,0.029571984435797664,0.029571984435797664,0.014785992217898832
102,FRENLANG15,0.0,0.02857142857142857,0.0,0.013186813186813187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945054945054945,0.013186813186813187
103,OSPAUSTL10,0.07526881720430108,0.6605222734254992,0.1443932411674347,0.08141321044546851,0.019969278033794162,0.006144393241167435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01228878648233487,0.0
104,PHIL60,0.020380434782608696,0.2921195652173913,0.250679347826087,0.1671195652173913,0.041440217391304345,0.08288043478260869,0.0,0.020380434782608696,0.0,0.0,0.0,0.0,0.0,0.125,0.0
105,MATH205A,0.0482695810564663,0.39162112932604737,0.122040072859745,0.09744990892531877,0.122040072859745,0.09744990892531877,0.07285974499089254,0.0,0.0,0.0,0.0,0.0,0.0,0.0482695810564663,0.0
106,GERLANG1,0.11805555555555555,0.4976851851851852,0.21296296296296297,0.07291666666666667,0.019675925925925927,0.004629629629629629,0.004629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.06712962962962964,0.0023148148148148147
107,CHINLANG22B,0.13916256157635468,0.5295566502463054,0.11083743842364532,0.027093596059113302,0.027093596059113302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16625615763546797,0.0
108,MATH115,0.12488350419384903,0.40074557315936626,0.16123019571295433,0.07735321528424977,0.05871388630009319,0.016775396085740912,0.023299161230195712,0.011183597390493943,0.011183597390493943,0.004659832246039142,0.004659832246039142,0.0,0.011183597390493943,0.08946877912395154,0.004659832246039142
109,EE102B,0.04536357571714476,0.2868579052701801,0.17945296864576385,0.1741160773849233,0.16877918612408271,0.056037358238825885,0.0200133422281521,0.0200133422281521,0.01467645096731154,0.0,0.0,0.0,0.0200133422281521,0.01467645096731154,0.0
110,MUSIC161B,0.006772009029345372,0.9706546275395034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022573363431151242,0.0
111,PHIL102,0.037783375314861464,0.3610411418975651,0.20654911838790932,0.15449202350965574,0.11586901763224182,0.037783375314861464,0.011754827875734676,0.0,0.011754827875734676,0.0,0.011754827875734676,0.0,0.0,0.051217464315701094,0.0
112,PHYSICS50,0.09713945172824791,0.24433849821215733,0.2562574493444577,0.19547079856972585,0.18295589988081049,0.023837902264600714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,PHYSICS44,0.004246284501061571,0.04670912951167728,0.0,0.0021231422505307855,0.014861995753715499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004246284501061571,0.9129511677282378,0.014861995753715499
114,PWR2SS,0.0,0.5011655011655012,0.3531468531468531,0.1247086247086247,0.01048951048951049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01048951048951049,0.0
115,EE263,0.16558632881555688,0.253388332351208,0.21626399528579845,0.17206835592221567,0.06364172068355922,0.03653506187389511,0.00648202710665881,0.0029463759575721863,0.0,0.0,0.0029463759575721863,0.0,0.0029463759575721863,0.07071302298173247,0.00648202710665881
116,MATSCI203,0.12731668009669622,0.34649476228847703,0.20064464141821112,0.09105560032232071,0.14585012087026591,0.035455278001611606,0.017727639000805803,0.0,0.0,0.0,0.017727639000805803,0.0,0.017727639000805803,0.0,0.0
117,SPANLANG3,0.19322033898305085,0.3644067796610169,0.21440677966101696,0.09661016949152543,0.03220338983050847,0.011864406779661017,0.005932203389830509,0.000847457627118644,0.001694915254237288,0.0,0.0,0.0,0.003389830508474576,0.07457627118644068,0.000847457627118644
118,NATIVEAM200W,0.0,0.03938730853391685,0.019693654266958426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9409190371991247,0.0
119,SPANLANG1,0.14427860696517414,0.42786069651741293,0.19502487562189055,0.07164179104477612,0.056716417910447764,0.006965174129353234,0.006965174129353234,0.001990049751243781,0.001990049751243781,0.0,0.0,0.0,0.0,0.08656716417910448,0.0
120,PEDS106,0.05785123966942149,0.7107438016528925,0.1322314049586777,0.04297520661157025,0.013223140495867768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04297520661157025,0.0
